,year,,fertility,family_plan,childgrant,lowfertility,lowfertility2,lowfertility3,lowfertility4,t,t_family,t_child,t_low
20,1975,3.181674206,3.43,0,0,0,0,0,0,1,0,0,0
21,1976,2.872173795,3,0,0,0,0,0,0,2,0,0,0
22,1977,2.880308745,2.99,0,0,0,0,0,0,3,0,0,0
23,1978,2.536983991,2.64,0,0,0,0,0,0,4,0,0,0
24,1979,2.989513987,2.9,0,0,0,0,0,0,5,0,0,0
25,1980,2.806428784,2.82,0,0,0,0,0,0,6,0,0,0
26,1981,2.529793578,2.67,0,0,0,0,0,0,7,0,0,0
27,1982,2.365086642,2.6,0,0,0,0,0,0,8,0,0,0
28,1983,2.043283777,2.33,0,0,0,0,0,0,9,0,0,0
29,1984,1.718916401,2.04,0,0,0,0,0,0,10,0,0,0
30,1985,1.631713485,1.64,0,0,0,0,0,0,11,0,0,0
31,1986,1.553832085,1.59,0,0,0,0,0,0,12,0,0,0
32,1987,1.494477481,1.57,0,0,0,0,0,0,13,0,0,0
33,1988,1.491092203,1.6,0,0,0,0,0,0,14,0,0,0
34,1989,1.485947644,1.63,0,0,0,0,0,0,15,0,0,0
35,1990,1.499332817,1.54,0,0,0,0,0,0,16,0,0,0
36,1991,1.636636698,1.68,1,0,0,0,0,0,17,1,0,0
37,1992,1.698205899,1.74,1,0,0,0,0,0,18,2,0,0
38,1993,1.675176204,1.65,1,0,0,0,0,0,19,3,0,0
39,1994,1.695775849,1.65,1,0,0,0,0,0,20,4,0,0
40,1995,1.685160237,1.63,1,0,0,0,0,0,21,5,0,0
41,1996,1.632662754,1.57,1,0,0,0,0,0,22,6,0,0
42,1997,1.597489688,1.53,1,0,0,0,0,0,23,7,0,0
43,1998,1.524378646,1.46,1,0,0,0,0,0,24,8,0,0
44,1999,1.482326316,1.42,1,0,0,0,0,0,25,9,0,0
45,2000,1.540528602,1.47,1,0,0,0,0,0,26,10,0,0
46,2001,1.361328314,1.3,1,0,0,0,0,0,27,11,0,0
47,2002,1.224580349,1.17,1,0,0,0,0,0,28,12,0,0
48,2003,1.233352488,1.19,1,0,0,0,0,0,29,13,0,0
49,2004,1.198640675,1.16,1,1,0,0,0,0,30,14,1,0
50,2005,1.109027634,1.08,1,1,0,0,0,0,31,15,2,0
51,2006,1.150283593,1.13,1,1,1,0,0,0,32,16,3,1
52,2007,1.278749362,1.26,1,1,1,0,0,0,33,17,4,2
53,2008,1.21476249,1.19,1,1,1,0,0,0,34,18,5,3
54,2009,1.176678769,1.15,1,1,1,0,0,0,35,19,6,4
55,2010,1.259534744,1.22,1,1,1,0,0,0,36,20,7,5
56,2011,1.278574219,1.24,1,1,1,1,0,0,37,21,8,6
57,2012,1.324344934,1.3,1,1,1,1,0,0,38,22,9,7
58,2013,1.198442598,1.19,1,1,1,1,0,0,39,23,10,8
59,2014,1.206452246,1.2,1,1,1,1,0,0,40,24,11,9
60,2015,1.233356874,1.24,1,1,1,1,0,0,41,25,12,10
61,2016,1.159935023,1.17,1,1,1,1,1,0,42,26,13,11
62,2017,1.034425553,1.05,1,1,1,1,1,0,43,27,14,12
63,2018,0.954582227,0.98,1,1,1,1,1,0,44,28,15,13
64,2019,0.892274152,0.92,1,1,1,1,1,0,45,29,16,14
65,2020,0.811662895,0.84,1,1,1,1,1,0,46,30,17,15
66,2021,0.782560047,0.81,1,1,1,1,1,1,47,31,18,16
67,2022,0.752853006,0.78,1,1,1,1,1,1,48,32,19,17
